สถานี,วันที่-เวลา,pH,DO,EC,Temp
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 15:00,6.3,0.7,818.1,26
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 15:30,6.2,0.6,816.6,26.2
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 16:00,6.2,0.8,817.8,26.2
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 16:30,6.2,1,816.9,26.2
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 17:00,6.2,1.5,817.8,26.1
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 17:30,6.2,0.7,819.6,26.1
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 18:00,6.2,0.7,821.1,26
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 18:30,6.2,0.6,823.4,25.9
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 19:00,6.2,0.6,824.9,25.8
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 19:30,6.1,0.4,829.4,25.7
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 20:00,6.1,0.5,831.2,25.7
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 20:30,6.1,0.5,840.4,25.7
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 21:00,6.1,0.3,840.3,25.6
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 21:30,6.2,0.3,833.7,25.6
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 22:00,6.2,0.3,827.3,25.7
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 22:30,6.2,0.2,821.8,25.7
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 23:00,6.3,0.1,815.5,25.7
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 23:30,6.3,0.1,810.6,25.7
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 00:00,6.3,0.1,805,25.7
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 00:30,6.3,0.1,791.7,25.8
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 01:00,6.3,0.1,783.7,25.7
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 01:30,6.4,0.1,774.4,25.7
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 02:00,6.4,0.1,752,25.7
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 02:30,6.4,0.1,742.5,25.6
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 03:00,6.4,0.1,736.3,25.6
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 03:30,6.4,0.1,720.4,25.5
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 04:00,6.5,0.1,689.9,25.5
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 04:30,6.5,0.1,674.7,25.4
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 05:00,6.5,0.1,656.9,25.5
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 05:30,6.5,0.1,650.8,25.4
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 06:00,6.5,0.1,648.7,25.4
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 06:30,6.5,0.1,646.4,25.5
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 07:00,6.4,0.1,646.1,25.5
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 07:30,6.4,0.1,648,25.5
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 08:00,6.4,0.1,651.1,25.5
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 08:30,6.4,0.1,656,25.6
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 09:00,6.3,0.1,660.6,25.6
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 09:30,6.3,0.1,664.5,25.7
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 10:00,6.3,0.1,667.5,25.7
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 10:30,6.2,0.1,673.2,25.8
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 11:00,6.2,0.1,679.7,25.8
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 11:30,6.1,0.2,683.9,25.9
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 12:00,6.1,0.5,697.6,25.8
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 12:30,6.1,0.9,696,26
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 13:00,6.1,1.8,694.3,26.3
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 13:30,6.2,1.9,692.6,26.3
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 14:00,6.2,1.9,691.9,26.4
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 14:30,6.2,0.7,690.9,26.2
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 15:00,6.2,1.3,687.6,26.3
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 15:30,6.2,1.7,686.8,26.4
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 16:00,6.2,1.4,686,26.3
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 16:30,6.2,1.1,685.2,26.3
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 17:00,6.2,1.7,685.1,26.3
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 17:30,6.2,1.6,685.3,26.2
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 18:00,6.2,1,686.6,26.1
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 18:30,6.2,1,687.9,26
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 19:00,6.2,0.8,689.6,25.9
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 19:30,6.1,0.8,695.1,25.8
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 20:00,6.1,0.8,694.7,25.8
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 20:30,6.1,1,701,25.8
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 21:00,6,0.8,707.2,25.8
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 21:30,6,0.8,701.9,25.8
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 22:00,6.1,0.6,697.3,25.7
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 22:30,6.1,0.5,692.4,25.7
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 23:00,6.1,0.5,688.7,25.7
กระทุ่มแบน จ.สมุทรสาคร (117),23 ม.ค.2558 23:30,6.2,0.4,684.6,25.8
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 00:00,6.2,0.3,681.7,25.8
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 00:30,6.3,0.2,677.9,25.8
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 01:00,6.3,0.1,674.4,25.8
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 01:30,6.3,0.1,669.3,25.8
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 02:00,6.4,0.1,665.9,25.8
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 02:30,6.4,0.1,659.5,25.8
