สถานี,วันที่-เวลา,pH,DO,EC,Temp
กระทุ่มแบน จ.สมุทรสาคร (117),30 ก.ค.2558 20:30,8,0.3,"6,966.60",27.5
กระทุ่มแบน จ.สมุทรสาคร (117),30 ก.ค.2558 21:00,8,0.3,"6,953.90",27.6
กระทุ่มแบน จ.สมุทรสาคร (117),30 ก.ค.2558 21:30,8,0.3,"6,905.60",27.9
กระทุ่มแบน จ.สมุทรสาคร (117),30 ก.ค.2558 22:00,8,0.2,"6,870.40",28
กระทุ่มแบน จ.สมุทรสาคร (117),30 ก.ค.2558 22:30,7.9,0.3,"6,851.30",28
กระทุ่มแบน จ.สมุทรสาคร (117),30 ก.ค.2558 23:00,7.9,0.3,"6,838.20",28
กระทุ่มแบน จ.สมุทรสาคร (117),30 ก.ค.2558 23:30,7.9,0.3,"6,829.30",27.9
กระทุ่มแบน จ.สมุทรสาคร (117),31 ก.ค.2558 00:00,7.9,0.3,"6,823.40",27.9
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 00:00,8.1,0.2,"6,617.60",28.1
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 00:30,8,0.2,"6,601.60",28
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 01:00,8,0.2,"6,582.50",27.9
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 01:30,8,0.2,"6,563.40",27.9
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 02:00,8,0.2,"6,545.80",27.7
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 02:30,8,0.1,"6,527.90",27.6
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 03:00,8.1,0.1,"6,513.30",27.5
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 03:30,8,0.2,"6,492.10",27.6
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 04:00,8.1,0.1,"6,476.60",27.4
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 04:30,8.1,0.1,"6,450.70",27.4
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 05:00,8.1,0.2,"6,418.30",27.4
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 05:30,8.1,0.2,"6,384.70",27.4
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 06:00,8.1,0.2,"6,333.40",27.3
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 06:30,8.1,0.2,"6,248.60",27.3
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 07:00,8.1,0.2,"1,752.50",27.3
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 07:30,8.1,0.2,"1,730.80",27.3
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 08:00,8.1,0.2,"1,691.00",27.4
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 08:30,8.1,0.1,"1,663.80",27.5
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 09:00,8.2,0.1,"1,627.20",28
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 09:30,8.2,0.1,"1,582.80",28.5
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 10:00,8.2,0.1,"1,542.50",28.9
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 10:30,8.3,0.1,"1,507.60",29.4
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 11:00,8.3,0.1,"1,473.80",29.9
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 11:30,8.3,0.1,"1,447.70",30.4
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 12:00,8.3,0.2,"1,429.20",30.7
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 12:30,8.3,0.2,"1,417.50",31.2
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 13:00,8.3,0.2,"1,402.30",31.6
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 13:30,8.4,0.3,"1,401.10",32.6
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 14:00,8.4,0.3,"1,372.80",32.9
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 14:30,8.4,0.4,"1,373.60",34
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 15:00,8.4,0.6,"1,340.40",34.3
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 15:30,8.4,0.4,"1,336.20",34.3
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 16:00,8.4,0.3,"1,354.60",33.7
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 16:30,8.4,0.2,"1,406.10",33.9
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 17:00,8.4,0.2,"1,397.40",33.2
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 17:30,8.4,0.4,"1,412.90",30.4
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 18:00,8.3,0.2,"1,535.00",29.3
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 18:30,8.3,0.2,"1,612.60",28.8
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 19:00,8.3,0.2,"1,645.00",28.5
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 19:30,8.3,0.3,"1,647.60",28.3
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 20:00,8.2,0.3,"1,638.70",28.1
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 20:30,8.2,0.3,"1,628.60",28.1
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 21:00,8.2,0.3,"1,610.60",28.1
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 21:30,8.2,0.2,"1,581.10",28.5
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 22:00,8.2,0.3,"1,542.50",28.6
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 22:30,8.2,0.2,"1,510.60",28.6
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 23:00,8.2,0.2,"1,484.50",28.6
กระทุ่มแบน จ.สมุทรสาคร (117),1 ส.ค.2558 23:30,8.2,0.3,"1,456.30",28.6
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 00:00,8.2,0.3,"1,429.40",28.6
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 00:30,8.2,0.2,"1,404.80",28.5
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 01:00,8.2,0.2,"1,386.50",28.5
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 01:30,8.2,0.2,"1,367.30",28.5
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 02:00,8.2,0.2,"1,351.70",28.5
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 02:30,8.2,0.2,"1,339.60",28.4
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 03:00,8.2,0.2,"1,330.30",28.3
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 03:30,8.2,0.2,"1,321.90",28.2
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 04:00,8.2,0.2,"1,316.50",28.2
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 04:30,8.2,0.2,"1,311.00",28.1
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 05:00,8.2,0.2,"1,305.40",28.1
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 05:30,8.2,0.2,"1,301.10",28
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 06:00,8.2,0.2,"1,296.90",28
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 06:30,8.2,0.2,"1,293.30",27.9
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 07:00,8.2,0.2,"1,288.80",27.9
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 07:30,8.2,0.1,"1,281.60",28
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 08:00,8.2,0.1,"1,270.00",28.2
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 08:30,8.2,0.1,"1,255.50",28.5
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 09:00,8.2,0.1,"1,231.30",29
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 09:30,8.3,0.1,"1,197.00",29.5
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 10:00,8.3,0.1,"1,168.30",30.2
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 10:30,8.4,0.1,"1,134.80",30.8
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 11:00,8.4,0.1,"1,113.90",31
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 11:30,8.4,0.1,"1,104.00",31.3
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 12:00,8.4,0.1,"1,097.60",31.7
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 12:30,8.4,0.2,"1,094.90",32.1
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 13:00,8.4,0.2,"1,092.70",32.8
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 13:30,8.4,0.3,"1,067.20",33
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 14:00,8.4,0.3,"1,056.60",32.6
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 14:30,8.4,0.3,"1,070.90",32.2
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 15:00,8.3,0.2,"1,096.90",32
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 15:30,8.4,0.1,"1,119.10",32.1
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 16:00,8.3,0.1,"1,111.10",31.9
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 16:30,8.4,0.2,"1,096.60",30.1
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 17:00,8.3,0.2,"1,172.10",29.3
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 17:30,8.3,0.2,"1,238.60",29.2
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 18:00,8.3,0.2,"1,255.70",28.3
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 18:30,8.3,0.2,"1,297.80",27.9
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 19:00,8.3,0.3,"1,324.30",27.6
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 19:30,8.3,0.3,"1,332.20",27.6
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 20:00,8.3,0.3,"1,327.00",27.5
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 20:30,8.2,0.3,"1,315.20",27.4
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 21:00,8.2,0.4,"1,308.30",27.4
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 21:30,8.2,0.3,"1,288.70",27.8
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 22:00,8.2,0.3,"1,254.60",27.8
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 22:30,8.2,0.2,"1,237.60",27.9
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 23:00,8.2,0.2,"1,215.80",27.9
กระทุ่มแบน จ.สมุทรสาคร (117),2 ส.ค.2558 23:30,8.2,0.3,"1,191.00",27.8
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 00:00,8.2,0.3,"1,167.60",27.8
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 00:30,8.2,0.3,"1,145.70",27.7
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 01:00,8.2,0.3,"1,126.50",27.7
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 01:30,8.2,0.2,"1,111.50",27.6
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 02:00,8.2,0.2,"1,098.30",27.6
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 02:30,8.2,0.2,"1,088.80",27.5
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 03:00,8.2,0.3,"1,081.60",27.4
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 03:30,8.2,0.2,"1,075.90",27.3
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 04:00,8.2,0.2,"1,071.10",27.3
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 04:30,8.2,0.2,"1,065.90",27.3
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 05:00,8.2,0.2,"1,058.90",27.3
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 05:30,8.2,0.2,"1,048.20",27.2
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 06:00,8.2,0.2,"1,039.10",27.2
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 06:30,8.2,0.2,"1,032.20",27.2
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 07:00,8.2,0.2,"1,025.40",27.3
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 07:30,8.2,0.1,"1,013.60",27.4
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 08:00,8.2,0.1,"1,000.60",27.7
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 08:30,8.3,0.1,978,28.3
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 09:00,8.3,0.1,944.4,28.7
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 09:30,8.3,0.1,924,29.2
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 10:00,8.4,0.1,912.6,29.8
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 10:30,8.4,0.2,908.4,30.1
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 11:00,8.4,0.2,907.8,30.5
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 11:30,8.4,0.2,914.6,31
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 12:00,8.4,0.3,910.8,31.6
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 12:30,8.4,0.3,911.1,32.1
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 13:00,8.4,0.3,915.2,32.5
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 13:30,8.4,0.3,915.8,32.9
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 14:00,8.4,0.3,915.3,33.1
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 14:30,8.4,0.4,913.1,32.9
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 15:00,8.4,0.4,942.6,33.5
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 15:30,8.4,0.2,930.1,33.8
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 16:00,8.4,0.3,916,33.8
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 16:30,8.4,0.2,904.9,33.4
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 17:00,8.4,0.1,907.8,33.1
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 17:30,8.4,0.1,927.1,33.4
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 18:00,8.4,0.1,902.4,32.8
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 18:30,8.4,0.1,892,31.8
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 19:00,8.4,0.2,904,31.1
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 19:30,8.4,0.2,920.7,30.7
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 20:00,8.4,0.2,927.9,30.6
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 20:30,8.4,0.2,925.7,30.3
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 21:00,8.4,0.2,947.2,30.3
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 21:30,8.4,0.1,959.5,30.8
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 22:00,8.4,0.1,948.2,30.8
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 22:30,8.4,0.2,941.3,30.7
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 23:00,8.4,0.2,940.1,30.6
กระทุ่มแบน จ.สมุทรสาคร (117),3 ส.ค.2558 23:30,8.4,0.2,932.5,30.5
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 00:00,8.4,0.4,927.5,30.3
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 00:30,8.3,0.3,926.5,30.1
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 01:00,8.3,0.2,928.7,30
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 01:30,8.3,0.2,927.8,29.9
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 02:00,8.3,0.2,924.5,29.9
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 02:30,8.3,0.2,917.8,29.8
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 03:00,8.3,0.3,913.6,29.7
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 03:30,8.3,0.3,909,29.5
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 04:00,8.3,0.3,907,29.4
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 04:30,8.3,0.3,903.7,29.4
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 05:00,8.3,0.3,900.2,29.2
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 05:30,8.3,0.4,900.2,29.2
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 06:00,8.3,0.2,898.2,29.1
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 06:30,8.3,0.2,894.1,29
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 07:00,8.3,0.2,894.9,28.9
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 07:30,8.3,0.1,895,28.9
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 08:00,8.3,0.1,891.9,28.9
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 08:30,8.3,0.2,643.9,28
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 09:00,8.3,0.1,887.6,29.3
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 09:30,8.3,0.1,880.1,29.6
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 10:00,8.3,0.1,875,30
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 10:30,8.3,0.1,843.7,30.4
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 11:00,8.4,0.1,859.3,30.9
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 11:30,8.4,0.1,842.5,31.3
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 12:00,8.4,0.1,838.5,31.3
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 12:30,8.4,0.2,833.3,31.6
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 13:00,8.4,0.2,852,31.9
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 13:30,8.4,0.2,857.1,32.3
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 14:00,8.5,0.2,849,32.4
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 14:30,8.5,0.1,852.5,32.5
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 15:00,8.4,0.1,850.9,32.5
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 15:30,8.5,0.1,836.6,32
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 16:00,8.4,0.3,846.3,31.5
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 16:30,8.4,0.2,845,31.3
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 17:00,8.4,0.2,845.8,31.3
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 17:30,8.4,0.1,844,31.6
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 18:00,8.4,0.2,842,31.5
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 18:30,8.4,0.2,844.7,30.9
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 19:00,8.3,0.3,847.6,30.3
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 19:30,8.3,0.3,857.9,29.8
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 20:00,8.3,0.3,862.3,29.6
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 20:30,8.3,0.3,861.8,29.4
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 21:00,8.3,0.3,866.4,29.3
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 21:30,8.3,0.3,867.7,29.6
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 22:00,8.3,0.4,856.2,29.5
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 22:30,8.3,0.4,857.7,29.6
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 23:00,8.3,0.4,855.8,29.6
กระทุ่มแบน จ.สมุทรสาคร (117),4 ส.ค.2558 23:30,8.3,0.5,853,29.5
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 00:00,8.3,0.5,849.3,29.3
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 00:30,8.3,0.5,850.7,29.2
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 01:00,8.3,0.3,851.2,29.2
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 01:30,8.3,0.4,844.6,29.1
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 02:00,8.3,0.5,707.8,28.3
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 02:30,8.3,0.5,842.7,28.9
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 03:00,8.3,0.5,842.8,28.8
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 03:30,8.3,0.4,847.5,28.7
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 04:00,8.3,0.2,846.3,28.7
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 04:30,8.3,0.3,844,28.7
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 05:00,8.3,0.3,838.7,28.6
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 05:30,8.3,0.3,835.4,28.5
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 06:00,8.3,0.2,833.6,28.4
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 06:30,8.3,0.2,833.6,28.4
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 07:00,8.3,0.2,828.6,28.4
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 07:30,8.3,0.2,830,28.5
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 08:00,8.3,0.2,826.2,28.6
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 08:30,8.3,0.1,822,28.9
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 09:00,8.3,0.1,813.4,29.3
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 09:30,8.3,0.1,805.4,29.7
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 10:00,8.4,0.1,801.8,30
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 10:30,8.4,0.1,801.1,30.3
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 11:00,8.4,0.2,798.8,30.9
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 11:30,8.4,0.2,779.8,31.2
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 12:00,8.4,0.3,783.3,31.2
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 12:30,8.4,0.2,800,31.7
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 13:00,8.5,0.2,777.2,31.7
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 13:30,8.5,0.2,777.1,31.8
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 14:00,8.5,0.2,791.9,32
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 14:30,8.5,0.1,784.2,32.1
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 15:00,8.5,0.1,790.4,32.3
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 15:30,8.5,0.1,785.2,33.1
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 16:00,8.4,0.1,764.4,33.3
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 16:30,8.4,0.1,736.1,32.6
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 17:00,8.4,0.4,734.6,32
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 17:30,8.4,0.2,763.6,32.1
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 18:00,8.4,0.3,735,31.6
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 18:30,8.4,0.3,755.6,30.9
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 19:00,8.4,0.3,762.5,30.3
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 19:30,8.4,0.4,770.6,29.9
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 20:00,8.4,0.4,776,29.6
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 20:30,8.4,0.5,777.7,29.4
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 21:00,8.4,0.5,788.1,29.3
กระทุ่มแบน จ.สมุทรสาคร (117),5 ส.ค.2558 21:30,8.4,0.5,782.6,29.7
